date,city,temp_side,station,outcome_f,source,updated_ts_est
2026-03-05,San Antonio,high,KSAT,87.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,San Antonio,low,KSAT,70.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,San Francisco,high,KSFO,63.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,San Francisco,low,KSFO,46.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Seattle,high,KSEA,51.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Seattle,low,KSEA,44.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Washington DC,high,KDCA,59.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-05,Washington DC,low,KDCA,45.0,cli_final,2026-03-06 08:31:50 AM EST
2026-03-06,Atlanta,high,KATL,83.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Atlanta,low,KATL,60.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Austin,high,KAUS,86.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Austin,low,KAUS,70.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Boston,high,KBOS,35.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Boston,low,KBOS,28.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Chicago,high,KMDW,74.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Chicago,low,KMDW,43.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Dallas,high,KDFW,82.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Dallas,low,KDFW,68.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Denver,high,KDEN,40.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Denver,low,KDEN,27.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Houston,high,KHOU,84.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Houston,low,KHOU,72.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Las Vegas,high,KLAS,65.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Las Vegas,low,KLAS,51.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Los Angeles,high,KLAX,73.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Los Angeles,low,KLAX,52.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Miami,high,KMIA,84.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Miami,low,KMIA,74.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Minneapolis,high,KMSP,51.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Minneapolis,low,KMSP,39.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,New Orleans,high,KMSY,83.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,New Orleans,low,KMSY,70.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,New York City,high,KNYC,41.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,New York City,low,KNYC,37.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Oklahoma City,high,KOKC,78.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Oklahoma City,low,KOKC,64.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Philadelphia,high,KPHL,45.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Philadelphia,low,KPHL,40.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Phoenix,high,KPHX,73.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Phoenix,low,KPHX,53.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,San Antonio,high,KSAT,86.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,San Antonio,low,KSAT,71.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,San Francisco,high,KSFO,69.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,San Francisco,low,KSFO,53.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Seattle,high,KSEA,50.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Seattle,low,KSEA,43.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Washington DC,high,KDCA,51.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-06,Washington DC,low,KDCA,44.0,cli_final,2026-03-07 02:59:24 PM EST
2026-03-07,Atlanta,high,KATL,83.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Atlanta,low,KATL,62.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Austin,high,KAUS,77.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Austin,low,KAUS,53.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Boston,high,KBOS,45.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Boston,low,KBOS,34.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Chicago,high,KMDW,64.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Chicago,low,KMDW,38.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Dallas,high,KDFW,75.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Dallas,low,KDFW,48.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Denver,high,KDEN,48.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Denver,low,KDEN,10.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Houston,high,KHOU,85.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Houston,low,KHOU,70.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Las Vegas,high,KLAS,68.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Las Vegas,low,KLAS,49.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Los Angeles,high,KLAX,78.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Los Angeles,low,KLAX,58.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Miami,high,KMIA,83.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Miami,low,KMIA,74.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Minneapolis,high,KMSP,39.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Minneapolis,low,KMSP,26.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,New Orleans,high,KMSY,83.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,New Orleans,low,KMSY,72.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,New York City,high,KNYC,52.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,New York City,low,KNYC,36.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Oklahoma City,high,KOKC,70.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Oklahoma City,low,KOKC,38.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Philadelphia,high,KPHL,53.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Philadelphia,low,KPHL,39.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Phoenix,high,KPHX,82.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Phoenix,low,KPHX,54.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,San Antonio,high,KSAT,79.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,San Antonio,low,KSAT,56.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,San Francisco,high,KSFO,74.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,San Francisco,low,KSFO,55.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Seattle,high,KSEA,54.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Seattle,low,KSEA,48.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Washington DC,high,KDCA,64.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-07,Washington DC,low,KDCA,41.0,cli_final,2026-03-08 07:58:23 AM EST
2026-03-08,Atlanta,high,KATL,69.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Atlanta,low,KATL,62.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Austin,high,KAUS,67.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Austin,low,KAUS,53.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Boston,high,KBOS,59.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Boston,low,KBOS,46.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Chicago,high,KMDW,63.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Chicago,low,KMDW,34.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Dallas,high,KDFW,74.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Dallas,low,KDFW,45.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Denver,high,KDEN,65.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Denver,low,KDEN,34.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Houston,high,KHOU,71.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Houston,low,KHOU,67.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Las Vegas,high,KLAS,73.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Las Vegas,low,KLAS,47.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Los Angeles,high,KLAX,88.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Los Angeles,low,KLAX,59.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Miami,high,KMIA,84.0,cli_final,2026-03-09 08:29:59 AM EST
