date,sig,city,temp_type,ticker,bet,line,first_seen_est,last_seen_est,end_seen_est,duration_seconds,scan_count,max_edge_pct,last_edge_pct,close_reason
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B47.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B47.5,BUY NO,47F to 48F,2026-03-07 01:11:00 PM EST,2026-03-07 01:11:00 PM EST,2026-03-07 01:15:00 PM EST,0,1,9.8,9.8,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTPHX-26MAR07-B79.5|BUY NO,Phoenix,high,KXHIGHTPHX-26MAR07-B79.5,BUY NO,79F to 80F,2026-03-07 12:50:00 PM EST,2026-03-07 01:15:00 PM EST,2026-03-07 01:19:00 PM EST,1500,8,36.63,23.9,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHPHIL-26MAR07-T54|BUY YES,Philadelphia,high,KXHIGHPHIL-26MAR07-T54,BUY YES,53F or below,2026-03-07 01:11:00 PM EST,2026-03-07 01:15:00 PM EST,2026-03-07 01:19:00 PM EST,240,2,56.42,56.42,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 01:15:00 PM EST,2026-03-07 01:19:00 PM EST,2026-03-07 01:23:00 PM EST,240,2,21.6,21.6,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-T50|BUY YES,New York City,high,KXHIGHNY-26MAR07-T50,BUY YES,49F or below,2026-03-07 01:19:00 PM EST,2026-03-07 01:19:00 PM EST,2026-03-07 01:23:00 PM EST,0,1,31.39,31.39,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B47.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B47.5,BUY NO,47F to 48F,2026-03-07 01:23:00 PM EST,2026-03-07 01:23:00 PM EST,2026-03-07 01:27:00 PM EST,0,1,8.8,8.8,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSEA-26MAR07-B53.5|BUY NO,Seattle,high,KXHIGHTSEA-26MAR07-B53.5,BUY NO,53F to 54F,2026-03-07 01:27:00 PM EST,2026-03-07 01:27:00 PM EST,2026-03-07 01:31:00 PM EST,0,1,22.3,22.3,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 01:27:00 PM EST,2026-03-07 01:27:00 PM EST,2026-03-07 01:31:00 PM EST,0,1,11.6,11.6,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTPHX-26MAR07-B79.5|BUY NO,Phoenix,high,KXHIGHTPHX-26MAR07-B79.5,BUY NO,79F to 80F,2026-03-07 01:27:00 PM EST,2026-03-07 01:38:00 PM EST,2026-03-07 01:42:00 PM EST,660,4,21.9,20.19,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 01:34:00 PM EST,2026-03-07 01:38:00 PM EST,2026-03-07 01:42:00 PM EST,240,2,14.0,14.0,edge_dropped_or_filtered
